city,month,zhvi,pred_pct_change,down_prob,actual_change,actual_dir,signal,score
Boise,2011-04-01,166937.93743924107,-4.0997791490272,0.9608782254344825,-1.676558979778886,0,STRONG SELL,-2
Boise,2011-05-01,166012.77582313342,-3.098412530991913,0.9457421196117143,-1.51662337562678,0,STRONG SELL,-2
Boise,2011-06-01,165317.9638195088,-2.516176518409322,0.9635722038887234,-1.3149437414529452,0,STRONG SELL,-2
Boise,2011-07-01,165356.18955783726,-2.360414930089613,0.9612086579274564,-1.5485707958617811,0,STRONG SELL,-2
Boise,2011-08-01,165318.72409137696,-0.329097966081664,0.8419339148704692,-1.3284887549839253,0,SELL,-1
Boise,2011-09-01,164938.36172812985,0.2998604816706894,0.8605988926734734,-0.645886880682478,0,SELL,-1
Boise,2011-10-01,164139.12445844582,3.8747562576380212,0.2785961806084005,0.8644102764849393,1,BUY,1
Boise,2011-11-01,163494.9872584729,4.523476621789231,0.23608172252882786,2.384644765199506,1,STRONG BUY,2
Boise,2011-12-01,163144.1256007667,3.947303166957064,0.38211902461551606,3.703879737502458,1,BUY,1
Boise,2012-01-01,162795.53189719474,4.056366728843829,0.25407463284057596,5.145392852910802,1,BUY,1
Boise,2012-02-01,163122.4834319401,4.434236427232571,0.5331417731239592,6.394178607608847,1,SELL,-1
Boise,2012-03-01,163873.04648851525,4.574440604884058,0.2893214291458054,7.659354403565066,1,BUY,1
Boise,2012-04-01,165557.959917997,4.912327359890519,0.2148385327390775,8.20777775816377,1,STRONG BUY,2
Boise,2012-05-01,167393.76191349566,4.469959851444905,0.21001562084482261,8.409730195389686,1,STRONG BUY,2
Boise,2012-06-01,169186.78781181906,4.762583389915061,0.13880172200215923,8.332074577996963,1,STRONG BUY,2
Boise,2012-07-01,171172.00156029113,5.66746863568594,0.3056668329814364,8.050171070778788,1,BUY,1
Boise,2012-08-01,173552.82637174553,4.48539987656051,0.13528666961776725,7.666413317576315,1,STRONG BUY,2
Boise,2012-09-01,176424.66389098956,4.733886904415454,0.14530204449985618,7.132833094378133,1,STRONG BUY,2
Boise,2012-10-01,179146.58932901607,5.296458942759909,0.08007154271748784,6.903469721199507,1,STRONG BUY,2
Boise,2012-11-01,181471.1256543336,4.931418890686439,0.1013020274370181,7.0325724167392245,1,STRONG BUY,2
Boise,2012-12-01,183283.55714841728,4.695791541117936,0.11258200556486841,7.39748402980247,1,STRONG BUY,2
Boise,2013-01-01,184951.6405111707,4.245026083331348,0.053937779448333,7.702874835436746,1,STRONG BUY,2
Boise,2013-02-01,186858.1033657391,4.056793287469078,0.12584192916134274,7.710919810542971,1,STRONG BUY,2
Boise,2013-03-01,189008.74070365145,4.869053578697153,0.07039809232565597,7.51947491924958,1,STRONG BUY,2
Boise,2013-04-01,191513.91987990637,4.406336766999599,0.08052969298639823,7.021768190734856,1,STRONG BUY,2
Boise,2013-05-01,194233.2139814465,4.060890819065566,0.08418386274984013,6.078565362131094,1,STRONG BUY,2
Boise,2013-06-01,196841.92901772537,4.081442961706013,0.10223131903736038,5.152527345130586,1,STRONG BUY,2
Boise,2013-07-01,199198.23388583312,4.198430912723016,0.06007823345757357,4.2513924999865615,1,STRONG BUY,2
Boise,2013-08-01,201266.5818757728,3.808683465014402,0.06586750204730996,3.698241851247519,1,STRONG BUY,2
Boise,2013-09-01,203221.205556052,4.107802969418945,0.09077395397194843,3.28750953315855,1,STRONG BUY,2
Boise,2013-10-01,204961.58338686303,3.9781465575307835,0.06509128300105205,3.1023106664975098,1,STRONG BUY,2
Boise,2013-11-01,206039.80684827664,4.349914351805914,0.12034699881822475,3.2677203436051405,1,STRONG BUY,2
Boise,2013-12-01,206984.26323704617,3.915364884711635,0.04478015548695613,3.1876924317273625,1,STRONG BUY,2
Boise,2014-01-01,207666.93266136112,3.8494493942793264,0.050995010990575906,3.211487184169637,1,STRONG BUY,2
Boise,2014-02-01,208709.906839278,3.912553165254707,0.04870125452945073,3.0293122973432673,1,STRONG BUY,2
Boise,2014-03-01,209902.12206210697,3.6941976086228,0.04424871619116977,2.899064692431841,1,STRONG BUY,2
Boise,2014-04-01,211320.1284504959,3.989665422102026,0.04093272936090886,2.5650874335275464,1,STRONG BUY,2
Boise,2014-05-01,212772.6115325825,4.2275881113057645,0.07025621701533824,2.0884632263341585,1,STRONG BUY,2
Boise,2014-06-01,213582.28493112017,4.1918481252117425,0.037706880339690496,1.9801069131098137,1,STRONG BUY,2
