city,RegionName,month,zhvi,zhvi_mom,zhvi_yoy,zhvi_3m_fwd,zhvi_6m_fwd,zhvi_12m_fwd,zhvi_3m_avg
Indianapolis,"Indianapolis, IN",2004-01-01,122471.70332130024,,,0.2633615557139368,0.8520199202404877,3.243838338477656,
Indianapolis,"Indianapolis, IN",2004-02-01,122534.11651101742,0.05096131434820794,,0.40455409477280213,1.0605111420252555,3.869451924006806,
Indianapolis,"Indianapolis, IN",2004-03-01,122585.48484340183,0.04192165728782449,,0.5782331272252916,1.2227833700381385,4.579113485606756,122530.4348919065
Indianapolis,"Indianapolis, IN",2004-04-01,122794.24670447658,0.17029900509137885,,0.5871121368691057,1.464830103181014,4.968372712282432,122637.94935296528
Indianapolis,"Indianapolis, IN",2004-05-01,123029.8332968564,0.19185474784237933,,0.6533140385577285,1.6772885153713002,5.210612909015033,122803.18828157826
Indianapolis,"Indianapolis, IN",2004-06-01,123294.31472593611,0.21497341091372135,,0.6408446666561929,1.9580675740161535,5.365941034943966,123039.46490908969
Indianapolis,"Indianapolis, IN",2004-07-01,123515.18663025556,0.17914200246005318,,0.8725948560065921,2.371611813158281,5.481664902785144,123279.77821768269
Indianapolis,"Indianapolis, IN",2004-08-01,123833.60446939895,0.25779650893988926,,1.017328129326489,2.779464253880537,5.517439525911749,123547.70194186356
Indianapolis,"Indianapolis, IN",2004-09-01,124084.43976614757,0.20255834256248662,,1.3088353061054603,3.3157852450065084,5.455707044822855,123811.07695526736
Indianapolis,"Indianapolis, IN",2004-10-01,124592.97379517811,0.40982900836634695,,1.4860497633589098,3.452962573867824,5.301948644492271,124170.33934357489
Indianapolis,"Indianapolis, IN",2004-11-01,125093.39856122504,0.40164766182528844,,1.7443899548581498,3.4750379806888443,5.182888939795305,124590.27070751692
Indianapolis,"Indianapolis, IN",2004-12-01,125708.50072319008,0.4917143262871626,,1.981021628406876,3.342426491610273,5.06140111920117,125131.6243598644
Indianapolis,"Indianapolis, IN",2005-01-01,126444.4873874232,0.5854708790567376,3.243838338477656,1.9381115090155498,3.038003441132786,4.503913483492039,125748.79555727943
Indianapolis,"Indianapolis, IN",2005-02-01,127275.51523991772,0.657227428150553,3.869451924006806,1.7009763649853848,2.663932228006183,3.756199003695504,126476.16778351033
Indianapolis,"Indianapolis, IN",2005-03-01,128198.81331126248,0.7254325936959072,4.579113485606756,1.334959035970451,2.0712438033952507,2.84781827822167,127306.27197953446
Indianapolis,"Indianapolis, IN",2005-04-01,128895.12254999456,0.5431479596004207,4.968372712282432,1.0789800947214712,1.7872722294484555,2.333120798357169,128123.15036705825
Indianapolis,"Indianapolis, IN",2005-05-01,129440.44167256208,0.42307196097044475,5.210612909015033,0.9468501654939177,1.6504956097964207,1.9714858074181718,128844.79251127304
Indianapolis,"Indianapolis, IN",2005-06-01,129910.21495356808,0.3629262036932479,5.365941034943966,0.7265851532672452,1.6633774587540229,1.7804215670890855,129415.25972537491
Indianapolis,"Indianapolis, IN",2005-07-01,130285.87526537584,0.2891691865354984,5.481664902785144,0.7007313825913464,1.422688710381248,1.6365885585065687,129878.84396383534
Indianapolis,"Indianapolis, IN",2005-08-01,130666.0487087548,0.2917994315228656,5.517439525911749,0.6970454681339167,1.0639245468053282,1.545210961490251,130287.37964256624
