city,zillow_metro,month,review_volume,checkin_volume,avg_stars,n_restaurants,reviews_per_restaurant,pct_budget,pct_mid,pct_upscale,pct_luxury,avg_price_tier,review_volume_3m_avg,review_yoy_growth,checkin_yoy_growth
Indianapolis,"Indianapolis, IN",2005-05-01,1,0,5.0,3643,0.0002744990392533626,0.48132780082987553,0.4832428981806575,0.03096074050430897,0.004468560485157995,1.5585700606447495,,,
Indianapolis,"Indianapolis, IN",2005-07-01,1,0,4.0,3643,0.0002744990392533626,0.48132780082987553,0.4832428981806575,0.03096074050430897,0.004468560485157995,1.5585700606447495,,,
Indianapolis,"Indianapolis, IN",2005-10-01,1,0,5.0,3643,0.0002744990392533626,0.48132780082987553,0.4832428981806575,0.03096074050430897,0.004468560485157995,1.5585700606447495,1.0,,
Indianapolis,"Indianapolis, IN",2005-12-01,2,0,4.5,3643,0.0005489980785067252,0.48132780082987553,0.4832428981806575,0.03096074050430897,0.004468560485157995,1.5585700606447495,1.3333333333333333,,
Indianapolis,"Indianapolis, IN",2006-01-01,7,0,4.285714285714286,3643,0.0019214932747735384,0.48132780082987553,0.4832428981806575,0.03096074050430897,0.004468560485157995,1.5585700606447495,3.3333333333333335,,
Indianapolis,"Indianapolis, IN",2006-02-01,5,0,5.0,3643,0.001372495196266813,0.48132780082987553,0.4832428981806575,0.03096074050430897,0.004468560485157995,1.5585700606447495,4.666666666666667,,
Indianapolis,"Indianapolis, IN",2006-03-01,3,0,4.0,3643,0.0008234971177600879,0.48132780082987553,0.4832428981806575,0.03096074050430897,0.004468560485157995,1.5585700606447495,5.0,,
Indianapolis,"Indianapolis, IN",2006-04-01,3,0,4.0,3643,0.0008234971177600879,0.48132780082987553,0.4832428981806575,0.03096074050430897,0.004468560485157995,1.5585700606447495,3.6666666666666665,,
Indianapolis,"Indianapolis, IN",2006-05-01,13,0,4.461538461538462,3643,0.003568487510293714,0.48132780082987553,0.4832428981806575,0.03096074050430897,0.004468560485157995,1.5585700606447495,6.333333333333333,,
Indianapolis,"Indianapolis, IN",2006-06-01,5,0,3.8,3643,0.001372495196266813,0.48132780082987553,0.4832428981806575,0.03096074050430897,0.004468560485157995,1.5585700606447495,7.0,,
Indianapolis,"Indianapolis, IN",2006-07-01,14,0,4.214285714285714,3643,0.0038429865495470767,0.48132780082987553,0.4832428981806575,0.03096074050430897,0.004468560485157995,1.5585700606447495,10.666666666666666,,
Indianapolis,"Indianapolis, IN",2006-08-01,21,0,4.380952380952381,3643,0.005764479824320615,0.48132780082987553,0.4832428981806575,0.03096074050430897,0.004468560485157995,1.5585700606447495,13.333333333333334,,
Indianapolis,"Indianapolis, IN",2006-09-01,14,0,4.428571428571429,3643,0.0038429865495470767,0.48132780082987553,0.4832428981806575,0.03096074050430897,0.004468560485157995,1.5585700606447495,16.333333333333332,1300.0,
Indianapolis,"Indianapolis, IN",2006-10-01,6,0,4.166666666666667,3643,0.0016469942355201758,0.48132780082987553,0.4832428981806575,0.03096074050430897,0.004468560485157995,1.5585700606447495,13.666666666666666,500.0,
Indianapolis,"Indianapolis, IN",2006-11-01,12,0,4.25,3643,0.0032939884710403516,0.48132780082987553,0.4832428981806575,0.03096074050430897,0.004468560485157995,1.5585700606447495,10.666666666666666,1100.0,
Indianapolis,"Indianapolis, IN",2006-12-01,12,0,4.416666666666667,3643,0.0032939884710403516,0.48132780082987553,0.4832428981806575,0.03096074050430897,0.004468560485157995,1.5585700606447495,10.0,500.0,
